IPEDS ID,Name,DoE ID,Freebase mid,OPE ID,Four-Year
421665,Houghton Lake Institute of Cosmetology LLC,163611,/m/0clw2f8,03109700,NO
421708,Arizona College of Allied Health,163620,/m/0clw2gl,03115000,NO
421717,Vanguard-Sentinel Adult Career and Technology Center,163639,/m/0clw2g4,03116400,NO
421771,House of Heavilin Beauty College-Raymore,163648,/m/0clw2fh,03110900,NO
421805,International Institute of Hair Design,163657,,,
421832,Living Arts College,163666,/m/0bfzk8,03109000,YES
421841,New York Conservatory for Dramatic Arts,163675,/m/0clw2cj,03120700,NO
421878,Eastern International College-Jersey City,163684,/m/0clw2cr,03122600,NO
421896,Academia Serrant Inc,163693,/m/0clw2gt,03122500,NO
421920,Sonoma College,163718,,,
421939,Advocate Illinois Masonic Medical Center,163727,,,
422020,San Joaquin Valley College-Fresno Aviation,,/m/0cv5pvc,02120702,NO
422039,Court Reporting Institute,163754,,,
422154,inlingua English Center,163772,,,
422190,Champion Institute of Cosmetology,190558,/m/0h7gnwk,04126400,NO
422297,Greater West Town Training Partnership,163781,,,
422695,Pacific College,163806,/m/0clw2f1,03299300,YES
422756,United Truck & Car Driving School,163815,,,
422835,American College of Healthcare,163824,/m/0clw2fq,03144400,NO
423120,Compu-Med Vocational Careers Corp,163833,/m/0clw2gc,03108600,NO
423245,Sage Technical Services - Billings,163842,,,
423324,Airman's Proficiency Center,163851,,,
423397,Professional Electrical School Inc,163860,/m/0clw2fy,03104400,NO
423412,Mid-Cities Barber College,163879,/m/0clw2cz,03111000,NO
423476,Georgia Military College-Columbus Campus,,/m/0clw2hp,00157107,NO
423494,National Defense University,163897,,,
423582,American Commercial College-Wichita Falls,,/m/0clw2lj,01005901,NO
423643,Midwestern University-Glendale,,/m/0clw2j3,00165701,NO
423652,Oregon Coast Community College,,/m/0gcf4g,00318904,NO
423670,Indiana Business College-Evansville,,/m/0clw2h7,,
423865,El Monte - Rosemead Adult School,163967,,,
423980,Le Cordon Bleu College of Culinary Arts-Pasadena,230843,/m/03gxwjb,03210300,NO
424008,American Pacific College,185855,/m/0clw2hx,,
424424,Kaplan College-Panorama City,163985,/m/0clw2jk,03044500,NO
425126,Phoenix East Aviation,185040,,,
425250,Gwinnett College-Sandy Springs,164012,/m/0clw2k6,03418300,NO
425296,Beacon University,164021,,,
425393,Pyramid Career Institute,164030,/m/0clw2l9,03128300,NO
425685,Lafayette General Medical Center,164049,,,
425782,Porter and Chester Institute - Chicopee,164058,,,
425870,Central Mass School of Massage & Therapy Inc.,212771,/m/0clw2kn,04128900,NO
425889,Lincoln Technical Institute-Brockton,,/m/0clw2kf,03232302,NO
425986,Mildred Elley,,/m/0clw2kw,02219501,NO
426314,Embry-Riddle Aeronautical University-Worldwide,,/m/01x3x1,00147900,YES
427025,Computer Systems Institute,186326,/m/0clw2l2,03416300,NO
427308,Merkaz Bnos-Business School,164128,/m/0clw2jb,03181400,NO
427326,Natural Gourmet Institute for Health & Culinary Arts,184995,,,
427335,Lia Schorr Institute of Cosmetic Skin Care Training,164137,/m/0clw2js,03433500,NO
427663,ITT Technical Institute-Webster,,/m/0clw2hg,00732914,YES
427894,CET-Alexandria,,/m/0clw2j_,02332840,NO
427919,CET-Durham,,/m/0clw2q0,02332836,NO
427973,Aviation Institute of Maintenance-Chesapeake,164182,/m/0clw2p4,03126300,NO
427982,Centura College-Richmond Main,164191,/m/0clw2pc,03126400,NO
427991,Technical Education Center-Osceola,164207,/m/03d619p,03127900,NO
428000,Miami Ad School-Miami Beach,164216,/m/0clw2lz,03125600,NO
428019,Green Country Technology Center,164225,/m/02phtcm,03126200,NO
428037,Askins Vo-Tech,164234,,,
428055,Nova College de Puerto Rico,164243,/m/0clw2nh,03124200,NO
428073,Styles and Profiles Beauty College,164252,/m/0clw2n8,03126900,NO
428091,Southwest Health Career Institute Inc,164261,,,
428107,Santa Barbara College of Oriental Medicine,164270,,,
428125,John Wesley International Barber and Beauty College,164289,/m/0clw2qg,03125300,NO
428143,Platt College-Lawton,164304,/m/0clw2mv,03124800,NO
428170,Southeastern College-Greenacres,164313,/m/0clw2n1,03123900,NO
428222,Defense Language Institute,164322,/m/0k91cxz,,
428259,Ottawa University-Milwaukee,,/m/0clw2nq,00193704,YES
428268,Argosy University-Tampa,,/m/0clw2m5,02179909,YES
428286,The Illinois Institute of Art-Schaumburg,164359,/m/0413kn3,01258401,YES
